file,dataset,img_size,seed,teacher,student,sched,cw_kd,pretrained_student,auroc,auprc,params,flops,latency_ms
results/distill_chestmnist_resnet18_to_mobilenetv3_small_100_res128_schedconst_a0.1-0.1_t5.0-5.0_cwnone_featnone_ep12_seed0/metrics.json,chestmnist,128,0,resnet18,mobilenetv3_small_100,const,none,False,0.7261008024215698,0.12293938547372818,,,
results/distill_chestmnist_resnet18_to_mobilenetv3_small_100_res128_schedce2kd_a0.05-0.25_t3.0-3.0_cwinverse_featnone_ep12_seed0/metrics.json,chestmnist,128,0,resnet18,mobilenetv3_small_100,ce2kd,inverse,False,0.7786556482315063,0.169673889875412,,,
results/chestmnist_mobilenetv3_small_100_res160_auglight_ep12_seed0/metrics.json,chestmnist,160,0,,mobilenetv3_small_100,sup,none,True,0.7769708037376404,0.16867084801197052,,,
results/chestmnist_mobilenetv3_small_100_res128_auglight_ep12_seed0/metrics.json,chestmnist,128,0,,mobilenetv3_small_100,sup,none,True,0.7760531306266785,0.16729627549648285,,,
results/distill_chestmnist_mobilenetv3_small_100_to_mobilenetv3_small_100_res128_schedkd2ce_a0.1-0.4_t3.0-5.0_cwinverse_featnone_ep12_seed0/metrics.json,chestmnist,128,0,mobilenetv3_small_100,mobilenetv3_small_100,kd2ce,inverse,False,0.7706629037857056,0.16621102392673492,,,
results/distill_chestmnist_resnet18_to_mobilenetv3_small_100_res128_schedkd2ce_a0.05-0.2_t2.5-3.5_cwinverse_featnone_ep12_seed0/metrics.json,chestmnist,128,0,resnet18,mobilenetv3_small_100,kd2ce,inverse,False,0.7780224680900574,0.16720034182071686,,,
results/distill_chestmnist_resnet18_to_mobilenetv3_small_100_res128_schedkd2ce_a0.05-0.3_t3.0-6.0_cweffective_featnone_ep12_seed0/metrics.json,chestmnist,128,0,resnet18,mobilenetv3_small_100,kd2ce,effective,False,0.7772730588912964,0.1664792150259018,,,
results/distill_chestmnist_mobilenetv3_small_100_to_mobilenetv3_small_100_res128_schedce2kd_a0.05-0.3_t3.0-3.0_cwnone_featnone_ep12_seed0/metrics.json,chestmnist,128,0,mobilenetv3_small_100,mobilenetv3_small_100,ce2kd,none,False,0.7739052176475525,0.16936911642551422,,,
results/distill_chestmnist_resnet18_to_mobilenetv3_small_100_res128_schedconst_a0.1-0.1_t5.0-5.0_cwnone_featnone_ep2_seed0/metrics.json,chestmnist,128,0,resnet18,mobilenetv3_small_100,const,none,False,0.6723493933677673,0.09382973611354828,,,
results/chestmnist_resnet18_res128_auglight_ep12_seed0/metrics.json,chestmnist,128,0,,resnet18,sup,none,True,0.7775859832763672,0.16831199824810028,,,
